,brewery_id,name,city,state,lat,lon,geometry
301,301,Old Forge Brewing Company,Danville,PA,40.96342,-76.6127329,POINT (-76.6127329 40.96342)
302,302,Utah Brewers Cooperative,Salt Lake City,UT,40.7607794,-111.8910474,POINT (-111.8910474 40.7607794)
303,303,Magic Hat Brewing Company,South Burlington,VT,44.4758825,-73.212072,POINT (-73.21207200000001 44.4758825)
304,304,Blue Hills Brewery,Canton,MA,42.1584324,-71.1447732,POINT (-71.1447732 42.1584324)
305,305,Night Shift Brewing,Everett,MA,42.40843,-71.0536625,POINT (-71.0536625 42.40843)
306,306,Beach Brewing Company,Virginia Beach,VA,36.8529263,-75.977985,POINT (-75.977985 36.8529263)
307,307,Payette Brewing Company,Garden City,ID,43.6221108,-116.2381744,POINT (-116.2381744 43.6221108)
308,308,Brew Bus Brewing,Tampa,FL,27.9475216,-82.4584279,POINT (-82.4584279 27.9475216)
309,309,Sockeye Brewing Company,Boise,ID,43.6135002,-116.2034505,POINT (-116.2034505 43.6135002)
310,310,Pine Street Brewery,San Francisco,CA,37.7749295,-122.4194155,POINT (-122.4194155 37.7749295)
311,311,Dirty Bucket Brewing Company,Woodinville,WA,47.7542651,-122.1634582,POINT (-122.1634582 47.7542651)
312,312,Jackalope Brewing Company,Nashville,TN,36.1658899,-86.7844432,POINT (-86.7844432 36.1658899)
313,313,Slanted Rock Brewing Company,Meridian,ID,43.6121087,-116.3915131,POINT (-116.3915131 43.6121087)
314,314,Piney River Brewing Company,Bucyrus,MO,37.3442143,-92.0168233,POINT (-92.0168233 37.3442143)
315,315,Cutters Brewing Company,Avon,IN,39.7628227,-86.3997168,POINT (-86.39971679999999 39.7628227)
316,316,Iron Hill Brewery & Restaurant,Wilmington,DE,39.7459467,-75.5465889,POINT (-75.5465889 39.7459467)
317,317,Marshall Wharf Brewing Company,Belfast,ME,44.4259092,-69.0064234,POINT (-69.0064234 44.4259092)
318,318,Banner Beer Company,Williamsburg,MA,39.0839973,-77.1527578,POINT (-77.1527578 39.0839973)
319,319,Dick's Brewing Company,Centralia,WA,46.7162136,-122.9542972,POINT (-122.9542972 46.7162136)
320,320,Claremont Craft Ales,Claremont,CA,34.0966764,-117.7197785,POINT (-117.7197785 34.0966764)
321,321,Rivertown Brewing Company,Lockland,OH,39.2292249,-84.4577201,POINT (-84.4577201 39.2292249)
322,322,Voodoo Brewery,Meadville,PA,41.6414438,-80.1514484,POINT (-80.15144840000001 41.6414438)
323,323,D.L. Geary Brewing Company,Portland,ME,43.65737,-70.2589,POINT (-70.2589 43.65737)
324,324,Pisgah Brewing Company,Black Mountain,NC,35.6178951,-82.3212302,POINT (-82.3212302 35.6178951)
325,325,Neshaminy Creek Brewing Company,Croydon,PA,40.0873329,-74.9034996,POINT (-74.9034996 40.0873329)
326,326,Morgan Street Brewery,Saint Louis,MO,38.6272733,-90.1978889,POINT (-90.1978889 38.6272733)
327,327,Half Acre Beer Company,Chicago,IL,41.850033,-87.6500523,POINT (-87.6500523 41.850033)
328,328,The Just Beer Project,Burlington,VT,44.4758825,-73.212072,POINT (-73.21207200000001 44.4758825)
329,329,The Bronx Brewery,Bronx,NY,40.84985217202898,-73.86640548706055,POINT (-73.86640548706055 40.84985217202898)
330,330,Dead Armadillo Craft Brewing,Tulsa,OK,36.1539816,-95.992775,POINT (-95.99277499999999 36.1539816)
331,331,Catawba Brewing Company,Morganton,NC,35.7454071,-81.6848188,POINT (-81.6848188 35.7454071)
332,332,La Cumbre Brewing Company,Albuquerque,NM,35.0844909,-106.6511367,POINT (-106.6511367 35.0844909)
333,333,David's Ale Works,Diamond Springs,CA,38.6946259,-120.8149355,POINT (-120.8149355 38.6946259)
334,334,The Traveler Beer Company,Burlington,VT,44.4758825,-73.212072,POINT (-73.21207200000001 44.4758825)
335,335,Fargo Brewing Company,Fargo,ND,46.8771863,-96.7898034,POINT (-96.7898034 46.8771863)
336,336,Big Sky Brewing Company,Missoula,MT,46.872146,-113.9939982,POINT (-113.9939982 46.872146)
337,337,Nebraska Brewing Company,Papillion,NE,41.1544433,-96.0422378,POINT (-96.0422378 41.1544433)
338,338,Uncle John's Fruit House Winery,St. John's,MI,43.001143,-84.5591521,POINT (-84.55915210000001 43.001143)
339,339,Wormtown Brewery,Worcester,MA,42.2625932,-71.8022934,POINT (-71.8022934 42.2625932)
340,340,Due South Brewing Company,Boynton Beach,FL,26.5253491,-80.0664309,POINT (-80.0664309 26.5253491)
341,341,Palisade Brewing Company,Palisade,CO,39.1102588,-108.3509193,POINT (-108.3509193 39.1102588)
342,342,KelSo Beer Company,Brooklyn,NY,40.6501038,-73.9495823,POINT (-73.9495823 40.6501038)
343,343,Hardywood Park Craft Brewery,Richmond,VA,37.5537575,-77.4602617,POINT (-77.4602617 37.5537575)
344,344,Wolf Hills Brewing Company,Abingdon,VA,36.7098335,-81.9773482,POINT (-81.97734819999999 36.7098335)
345,345,Lavery Brewing Company,Erie,PA,42.1292241,-80.085059,POINT (-80.085059 42.1292241)
346,346,Manzanita Brewing Company,Santee,CA,32.8383828,-116.9739167,POINT (-116.9739167 32.8383828)
347,347,Fullsteam Brewery,Durham,NC,35.9940329,-78.898619,POINT (-78.898619 35.9940329)
348,348,Four Horsemen Brewing Company,South Bend,IN,41.6833813,-86.2500066,POINT (-86.25000660000001 41.6833813)
349,349,Hinterland Brewery,Green Bay,WI,44.519159,-88.019826,POINT (-88.01982599999999 44.519159)
350,350,Central Coast Brewing Company,San Luis Obispo,CA,35.2827524,-120.6596156,POINT (-120.6596156 35.2827524)
